#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
1.545e-03 6.783e-04 4.600e-01 2.053e-02 1.821e-03 2.169e-04 1.351e-05 5.835e-04 1.048e-06 4.809e-06
2.722e-03 3.256e-04 4.732e-01 9.500e-03 7.470e-04 1.554e-04 1.632e-05 2.621e-04 1.315e-06 4.202e-06
1.302e-03 6.806e-04 4.633e-01 2.089e-02 4.134e-04 2.714e-04 1.851e-05 6.030e-04 1.336e-06 7.189e-06
2.703e-03 2.382e-04 4.844e-01 7.026e-03 8.079e-04 1.874e-04 1.359e-05 1.792e-04 1.295e-06 9.449e-06
9.527e-04 6.758e-04 4.627e-01 2.050e-02 9.979e-04 1.709e-04 1.823e-05 6.147e-04 1.915e-06 2.902e-05
2.715e-03 1.761e-04 4.854e-01 5.212e-03 1.368e-03 1.155e-04 1.256e-05 1.410e-04 1.182e-06 4.298e-06
7.044e-04 6.788e-04 4.611e-01 1.960e-02 9.207e-04 3.005e-04 1.990e-05 6.340e-04 1.007e-06 1.059e-05
2.704e-03 1.353e-04 4.905e-01 4.068e-03 1.338e-03 8.152e-05 1.422e-05 1.092e-04 2.539e-06 3.881e-06
5.413e-04 6.759e-04 4.679e-01 1.762e-02 5.442e-04 2.289e-04 3.115e-05 6.532e-04 2.080e-06 1.862e-05
2.724e-03 9.959e-05 4.917e-01 2.570e-03 1.394e-03 9.303e-05 1.360e-05 7.986e-05 1.826e-06 2.571e-06
3.983e-04 6.809e-04 4.721e-01 1.654e-02 1.165e-03 2.565e-04 2.902e-05 6.596e-04 1.713e-06 7.985e-06
1.561e-03 3.902e-04 4.697e-01 1.293e-02 7.810e-04 2.314e-04 1.324e-05 3.433e-04 2.027e-06 3.901e-06
2.705e-03 6.557e-05 4.876e-01 1.849e-03 1.494e-03 5.124e-05 1.015e-05 5.203e-05 1.399e-06 2.317e-06
2.623e-04 6.762e-04 4.732e-01 1.531e-02 9.178e-04 1.144e-04 2.721e-05 6.739e-04 2.575e-06 6.667e-06
2.711e-03 3.658e-05 4.936e-01 9.185e-04 8.538e-04 5.380e-05 1.319e-05 2.993e-05 1.378e-06 2.019e-06
1.463e-04 6.778e-04 3.738e-01 1.482e-02 1.751e-03 1.547e-04 3.949e-05 6.755e-04 1.583e-06 9.996e-06
2.734e-03 1.338e-05 4.958e-01 3.824e-04 1.007e-03 3.618e-05 1.461e-05 1.235e-05 1.139e-06 1.491e-06
5.352e-05 6.835e-04 7.862e-05 7.714e-04 1.533e-05 3.727e-05 3.791e-05 6.342e-04 3.387e-06 6.190e-06
2.693e-03 6.800e-06 4.975e-01 2.451e-04 9.838e-04 1.976e-05 1.224e-05 7.997e-06 9.240e-07 1.611e-06
2.720e-05 6.732e-04 2.744e-05 7.259e-04 8.336e-06 4.913e-05 1.782e-05 6.362e-04 1.235e-06 8.596e-06
1.520e-03 3.000e-04 4.749e-01 9.498e-03 7.749e-04 2.268e-04 1.254e-05 2.646e-04 1.296e-06 6.743e-06
1.200e-03 3.800e-04 4.797e-01 9.946e-03 1.035e-03 1.435e-04 2.403e-05 3.578e-04 3.371e-06 4.532e-06
1.525e-03 9.925e-03 2.252e-01 1.289e-01 4.722e-04 4.550e-04 3.420e-04 8.748e-03 6.010e-06 4.056e-05
3.970e-02 3.813e-04 4.903e-01 2.996e-03 9.244e-04 6.916e-05 1.282e-05 9.733e-05 9.705e-07 2.048e-06
1.573e-03 4.055e-03 3.508e-01 8.888e-02 1.140e-03 4.126e-04 7.198e-05 3.470e-03 1.856e-06 2.014e-05
1.622e-02 3.932e-04 4.873e-01 5.541e-03 7.938e-04 9.805e-05 1.225e-05 1.734e-04 9.281e-07 7.657e-06
1.574e-03 2.691e-03 3.892e-01 6.842e-02 1.055e-03 5.357e-04 3.712e-05 2.300e-03 2.479e-06 1.924e-05
1.076e-02 3.936e-04 4.860e-01 7.212e-03 9.574e-04 1.829e-04 1.191e-05 2.013e-04 1.344e-06 5.054e-06
1.541e-03 1.924e-03 4.123e-01 5.329e-02 9.305e-04 4.106e-04 3.055e-05 1.636e-03 2.153e-06 8.682e-06
7.696e-03 3.852e-04 4.843e-01 8.282e-03 6.712e-04 2.264e-04 1.350e-05 2.303e-04 8.164e-07 4.027e-06
1.544e-03 1.095e-03 4.441e-01 3.307e-02 1.212e-03 2.970e-04 1.876e-05 9.371e-04 1.818e-06 9.668e-06
4.381e-03 3.860e-04 4.816e-01 9.574e-03 6.765e-04 1.043e-04 1.832e-05 2.746e-04 2.142e-06 6.271e-06
1.525e-03 7.967e-04 4.564e-01 2.415e-02 7.914e-04 2.246e-04 2.602e-05 7.065e-04 4.429e-06 1.995e-05
